HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,source_id,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,lum_val,lum_percentile_lower,lum_percentile_upper
23,6572,223,4.25,0.14,,,1584.0,1913.0,2207.0,1122.0,4097.0,68,259.0,6310.0,95,1835.0,1.25,1.25,1.24,1.2,1.3,68,1.1,1.4,95,1.28,2767134252131256448,7.4488273000000005,19761295.30063605,3044.0897193749597,7.686630999999999,11638657.07262552,8798.02486557518,7.106007000000001,11544235.438795872,13972.929959057485,6.7162004,6.668692599999999,6.763708
194,7214,245,4.27,0.14,,,657.0,833.0,1172.0,487.0,1679.0,68,97.0,2113.0,95,513.0,1.46,1.47,1.46,1.4,1.5,68,1.3,1.6,95,1.48,2746883550048724992,5.6079764,107685140.02381372,152224.63838184453,5.7964915999999995,66367988.76201671,143479.21853930873,5.3596673,57663518.42963111,97399.54359317939,5.840716400000001,5.745519,5.9359136
255,6758,230,4.22,0.14,,,1220.0,1499.0,1804.0,858.0,2867.0,68,194.0,4732.0,95,1484.0,1.32,1.32,1.32,1.2,1.4,68,1.1,1.5,95,1.35,2336582708626465664,7.863263000000001,13490905.499196814,4939.044415229217,8.090474,8023534.668709918,8095.823146180729,7.534008999999999,7783310.545924407,8627.205123679883,4.4184665999999995,4.3866606,4.4502726
267,6560,223,4.21,0.14,,,1734.0,2057.0,2271.0,1259.0,4217.0,68,316.0,6494.0,95,2110.0,1.25,1.25,1.24,1.2,1.3,68,1.1,1.4,95,1.29,2444844338643998080,8.010036,11785056.4163557,4272.6371769924635,8.23545,7020618.567784334,5567.737883171233,7.6680017000000005,6879666.130868548,12457.999345483353,3.4604523,3.4243124,3.4965922999999997
277,7245,246,4.28,0.14,,,616.0,780.0,1138.0,448.0,1615.0,68,92.0,2054.0,95,317.0,1.47,1.47,1.46,1.4,1.6,68,1.3,1.6,95,1.48,2309505074424681216,6.879589999999999,33381839.65890526,10354.870809707949,7.066611,20602070.312085785,28849.097451031168,6.6174539999999995,18104495.690506734,23482.06269058841,5.7332497,5.703626,5.762873
301,11419,388,3.62,0.14,211.0,0.0,217.0,218.0,221.0,187.0,258.0,68,158.0,294.0,95,197.0,3.49,3.5,3.43,3.1,3.8,68,2.9,4.1,95,3.71,2414783622022208128,4.477696,304977596.07749355,904337.2936487072,4.519443,215168139.61061785,474224.6162517779,4.5476804,121813595.40628488,664471.3609942398,,,
378,6583,224,3.8,0.14,,,2212.0,2144.0,2024.0,1600.0,2711.0,68,1298.0,4340.0,95,1815.0,1.5,1.5,1.46,1.3,1.7,68,1.2,1.8,95,1.63,2769083686246518528,7.257411500000001,23571196.786209516,6386.289416535435,7.494066,13897248.676970653,20563.6233910318,6.920897500000001,13690174.576699298,55658.10647271965,10.444732,10.344927,10.544537
435,6165,210,3.99,0.14,,,3857.0,3948.0,4532.0,2940.0,5348.0,61,2160.0,6982.0,94,3761.0,1.22,1.21,1.13,1.1,1.3,68,1.0,1.5,95,1.28,4976895849340161280,9.184285000000001,3996062.767592165,667.907951466199,9.446363,2301494.072507378,1625.2880194510833,8.794042999999999,2438658.7271451526,2486.098481084346,2.00503,1.9920069,2.018053
560,6855,233,4.32,0.14,,,868.0,1078.0,1518.0,562.0,2371.0,68,112.0,3548.0,95,102.0,1.34,1.34,1.32,1.3,1.4,68,1.2,1.5,95,1.37,2337191189529102336,6.0797935,69731477.97452827,29573.0685406179,6.2986283,41793035.51023899,109005.97672684956,5.7747407,39343380.87004729,98512.27488981244,4.3119693,4.2979884,4.32595
596,6644,226,4.15,0.14,,,1699.0,1961.0,2083.0,1214.0,3384.0,68,365.0,5788.0,95,2054.0,1.3,1.3,1.3,1.2,1.4,68,1.1,1.5,95,1.35,4684110819285845376,7.448121,19774153.641201787,5441.650993747413,7.6839333,11667610.887919916,13547.622218316932,7.1178136,11419382.546591453,19753.361836254306,5.420157,5.399197,5.441117
606,6425,218,4.22,0.14,,,2186.0,2566.0,2699.0,1639.0,5171.0,68,434.0,7286.0,95,2642.0,1.21,1.2,1.18,1.1,1.3,68,1.0,1.4,95,1.24,2336290689505289472,6.9343944,31738662.21115119,7370.555755358206,7.1990056,18236987.318531103,31207.464078849516,6.568390400000001,18941392.07755393,91894.8879970532,3.0310512000000003,3.0169277,3.0451745999999997
649,6300,214,3.87,0.14,,,3172.0,3088.0,2778.0,2230.0,4375.0,68,1820.0,5906.0,94,2971.0,1.34,1.32,1.21,1.2,1.5,68,1.1,1.6,95,1.41,2441673072233002496,7.721984399999999,15365709.605287265,3028.4352085286823,7.987032000000001,8825562.78588276,5347.973474659187,7.346521000000001,9250380.382259578,14801.243042221962,4.503764599999999,4.4749885,4.532541
691,6969,237,4.43,0.14,,,614.0,772.0,1172.0,365.0,1884.0,68,77.0,2738.0,95,47.0,1.36,1.36,1.35,1.3,1.5,68,1.2,1.5,95,1.39,395877894575975168,7.6836615,15917747.728915842,3548.180401920711,7.885942,9686756.892114753,7646.3669341577015,7.3861723,8918650.874189595,7722.104574893579,3.7556,3.7400446000000005,3.7711553999999996
813,12516,426,4.26,0.14,240.0,0.0,70.0,85.0,128.0,53.0,178.0,68,13.0,205.0,95,73.0,3.09,3.08,3.04,2.9,3.2,68,2.7,3.4,95,3.08,2753834422041820928,5.5210414000000005,116662066.07115538,142942.99273528883,5.505065,86801895.33349071,133885.05391423462,5.6054864,45980481.6611672,90263.82774064074,,,
818,7228,246,3.96,0.14,,,1222.0,1318.0,1314.0,1084.0,1682.0,68,546.0,2239.0,95,1367.0,1.58,1.57,1.52,1.4,1.7,68,1.3,1.9,95,1.67,2429214162381199104,7.0193167,29350781.487158153,6560.979512472388,7.2011460000000005,18201061.94407332,19907.372857416856,6.7668633,15776937.252156895,26799.02984993032,9.129073,9.069174,9.188972
819,6467,220,3.97,0.14,,,2753.0,2714.0,2476.0,1948.0,3948.0,68,1496.0,6131.0,95,2438.0,1.32,1.31,1.3,1.2,1.4,68,1.1,1.6,95,1.43,4635412796456855424,7.7648953999999994,14770258.1285708,5023.300228337276,8.015657000000001,8595917.239339953,10781.583502682071,7.4132237000000005,8699184.707543373,20634.733440482167,5.2644763,5.2368283,5.292124299999999
922,6479,220,4.23,0.14,,,1937.0,2371.0,2476.0,1413.0,4732.0,68,355.0,6879.0,95,2343.0,1.22,1.22,1.18,1.1,1.3,68,1.0,1.4,95,1.25,2366186788622519552,8.369816,8460965.013450377,2359.6250370558027,8.618207,4934832.0212976085,4243.462175929514,8.011167,5015351.924453208,5035.073204461813,3.3750339,3.3453686,3.404699
952,6409,218,4.0,0.14,,,2950.0,2961.0,2623.0,2100.0,4401.0,68,1496.0,6494.0,95,2606.0,1.28,1.27,1.21,1.1,1.4,68,1.1,1.5,95,1.39,2859795732000514688,8.316996000000001,8882759.342426306,4321.339798284452,8.576058,5130170.897232046,6767.890549182971,7.951179499999999,5300247.670724371,5035.847743537792,4.7488246,4.661336,4.8363132
964,7001,238,4.41,0.14,,,609.0,772.0,1172.0,375.0,1863.0,68,77.0,2585.0,95,35.0,1.37,1.38,1.38,1.3,1.5,68,1.2,1.5,95,1.39,2337280318690453248,7.8194623,14046281.658270655,6182.635521558983,8.025027,8522056.302606381,8732.758151344291,7.530328,7809744.901640105,13779.77889734398,4.5472765,4.514868,4.579685
1058,6538,222,4.06,0.14,,,2321.0,2512.0,2337.0,1712.0,3947.0,68,818.0,6494.0,95,2367.0,1.3,1.29,1.27,1.2,1.4,68,1.1,1.5,95,1.38,4995068341300822144,7.456303,19625691.35976492,4655.832864031339,7.696797,11530189.480227064,14435.4792430627,7.116911999999999,11428867.45970692,20756.244940383356,3.894157,3.8713286,3.9169852999999994
1071,6942,236,4.32,0.14,,,779.0,1000.0,1392.0,516.0,2113.0,68,103.0,2985.0,95,71.0,1.37,1.37,1.35,1.3,1.5,68,1.2,1.5,95,1.4,2336964827572674176,7.8857026,13214943.606474198,5342.546244205299,8.092727,8006905.166725603,6215.942113330544,7.585228999999999,7424657.189439886,7949.393517229126,4.26516,4.22727,4.30305
1072,6387,217,3.73,0.14,,,2458.0,2387.0,2024.0,1679.0,3073.0,68,1413.0,4870.0,95,2836.0,1.49,1.49,1.46,1.3,1.7,68,1.2,1.8,95,1.47,2364618266565627008,7.330857000000001,22029442.228594813,4849.48517622387,7.592397999999999,12693928.05051227,18649.216686017742,6.9664307,13127916.838653648,25627.922306666707,9.104992,9.041333999999999,9.16865
1086,7089,241,4.25,0.14,,,759.0,961.0,1314.0,557.0,1909.0,68,115.0,2512.0,95,726.0,1.43,1.43,1.44,1.3,1.5,68,1.2,1.6,95,1.45,383275940831929728,5.603004,108179446.62352118,105877.86860478805,5.802822,65982141.2288786,136920.91477044715,5.3336496,59061995.54015311,85596.66082107575,5.844130000000001,5.820432,5.867828
1140,6426,218,4.1,0.14,,,2643.0,2839.0,2699.0,1975.0,4766.0,68,818.0,6879.0,95,2706.0,1.24,1.23,1.18,1.1,1.3,68,1.0,1.4,95,1.32,4922906809055232640,6.5384793,45704035.43737405,9259.472752682472,6.7993546,26351988.064528186,42284.485483171564,6.181789,27042847.15747343,45067.56073857108,3.7789775999999997,3.7709992,3.786956
1196,7298,248,4.13,0.14,,,834.0,1046.0,1206.0,708.0,1631.0,68,168.0,2113.0,95,1184.0,1.52,1.51,1.49,1.4,1.6,68,1.3,1.7,95,1.55,2752338227234710784,5.942248,79149306.80247414,89211.75039821773,6.1240373,49084045.76365683,194021.67942534934,5.695489,42322602.75574197,124627.80335853287,17.379917000000003,17.126407999999998,17.633426999999998
1197,7298,248,4.13,0.14,,,834.0,1046.0,1206.0,708.0,1631.0,68,168.0,2113.0,95,1184.0,1.52,1.51,1.49,1.4,1.6,68,1.3,1.7,95,1.55,2752338227234710912,7.512776,18630991.603196677,5490.959106919949,7.7436240000000005,11043471.619876413,11879.97095183582,7.184427,10739825.040321933,16156.119868364893,4.193943,4.144529,4.243357
1211,6850,233,4.23,0.14,,,1042.0,1300.0,1608.0,750.0,2512.0,68,154.0,3868.0,95,1206.0,1.35,1.35,1.35,1.3,1.4,68,1.2,1.5,95,1.38,2876189725248409344,7.897454700000001,13072671.527242785,4121.973073254911,8.107892999999999,7895837.638026453,12002.02220142962,7.597036,7344353.614905167,11237.210248697098,4.532123599999999,4.5039153,4.560332
1402,6793,231,4.29,0.14,,,1012.0,1296.0,1655.0,668.0,2661.0,68,141.0,4217.0,95,758.0,1.32,1.32,1.32,1.2,1.4,68,1.1,1.5,95,1.35,2365392082233625472,6.340165,54863087.29436785,14845.757994344951,6.5719137000000005,32493002.35432381,69923.88248672125,6.014836,31537969.044878915,91799.49182481412,5.0607595000000005,5.042285,5.079234
1455,7179,244,4.19,0.14,,,803.0,1020.0,1277.0,631.0,1778.0,68,137.0,2304.0,95,1085.0,1.47,1.47,1.46,1.4,1.5,68,1.3,1.6,95,1.49,2548860475095432576,7.111376299999999,26964714.401813723,5729.228116486096,7.2959380000000005,16679387.671096714,15915.184694479265,6.8468447,14656498.229882974,21261.66030743485,5.793933,5.762999,5.824867
1473,9384,319,4.07,0.14,114.0,0.0,356.0,420.0,466.0,327.0,587.0,68,112.0,668.0,95,476.0,2.15,2.14,2.11,2.0,2.3,68,1.9,2.5,95,2.23,378607281313491328,4.509526,296166595.1502696,4167721.6362558613,4.5341973,212263973.15937132,584898.5820896538,4.4310665,135625497.35648382,1394968.41124106,,,
1545,6873,234,4.27,0.14,,,937.0,1172.0,1518.0,647.0,2420.0,68,126.0,3447.0,95,821.0,1.35,1.35,1.35,1.3,1.4,68,1.2,1.5,95,1.38,2545563658199285376,7.808324000000001,14191120.773851618,2959.579525736686,8.023639999999999,8532953.507635772,5558.436230996062,7.494313000000001,8073147.068736971,7213.363733002059,4.9632214999999995,4.929284,4.997159
1629,7092,241,4.21,0.14,,,823.0,1044.0,1353.0,631.0,1939.0,68,130.0,2512.0,95,1022.0,1.44,1.44,1.44,1.4,1.5,68,1.3,1.6,95,1.46,530362563377544192,7.562521,17796638.414402314,4941.5491922467745,7.756276,10915529.592758993,12107.936537259493,7.2842655,9796292.35332126,15402.205636432587,5.806767,5.7774606,5.8360734
1686,6486,221,3.68,0.14,,,2079.0,2029.0,2024.0,1507.0,2584.0,67,1189.0,3868.0,95,1853.0,1.58,1.58,1.63,1.4,1.8,68,1.2,1.9,95,1.68,378821548641870336,4.998151999999999,188836317.3012585,245087.1626970693,5.2830386,106497583.82841058,102688.00549868279,4.677779699999999,108057819.99312028,322681.3234245401,17.927914,17.802162,18.053665
1721,6439,219,4.08,0.14,,,2656.0,2901.0,2623.0,1959.0,4583.0,68,917.0,6879.0,95,2637.0,1.25,1.24,1.21,1.1,1.3,68,1.1,1.5,95,1.34,378375593597553792,7.9728265,12195949.906471195,2849.224676638688,8.226063,7081581.322078551,4322.424315555603,7.601907000000001,7311478.467196858,5298.810847864671,5.202511,5.159999,5.245023000000001
1731,6362,216,4.07,0.14,,,3017.0,3164.0,2859.0,2228.0,4970.0,68,1189.0,6879.0,95,3147.0,1.23,1.22,1.18,1.1,1.3,68,1.0,1.4,95,1.3,2360212592193014528,8.884841,5265138.858367582,1469.854285832491,9.138244,3056735.2024225025,2849.396358420065,8.514986,3153359.6212642067,3158.8772502573497,3.3464519999999998,3.3181422,3.3747617999999995
1787,6545,223,4.32,0.14,,,1448.0,1830.0,2207.0,944.0,4097.0,68,205.0,6310.0,95,1098.0,1.23,1.23,1.21,1.1,1.3,68,1.1,1.4,95,1.26,2426688481092390144,8.079446,11055233.71985785,3905.1299491242244,8.324971000000001,6464974.56997822,9400.545978091595,7.724756200000001,6529284.4701433275,4634.617104556549,2.9244932999999995,2.9059982000000004,2.9429884
1795,7071,240,4.02,0.14,,,1267.0,1422.0,1433.0,1124.0,1968.0,68,410.0,2661.0,95,1513.0,1.5,1.49,1.46,1.4,1.6,68,1.3,1.7,95,1.58,4997275026778317184,6.6579375,40942211.60537254,10473.187861122331,6.855990400000001,25012610.54661515,57195.57684746459,6.375758599999999,22618539.14747344,53054.05660565827,7.705037599999999,7.666675,7.7434
2072,8226,280,4.3,0.14,,,348.0,436.0,640.0,266.0,866.0,68,60.0,1029.0,95,259.0,1.74,1.73,1.69,1.6,1.8,68,1.6,1.9,95,1.71,4992538055807707776,3.8367267,550371053.9887009,1947461.379014145,4.009089,344286197.8234625,1069748.7904136796,3.7527936,253308985.338473,657989.8065080723,10.682012,10.5565815,10.807442
2099,6501,221,4.16,0.14,,,2122.0,2409.0,2476.0,1585.0,4467.0,68,487.0,6879.0,95,2463.0,1.25,1.24,1.21,1.1,1.3,68,1.1,1.4,95,1.3,2375020574277335936,8.463023,7764923.783541737,4135.406791155087,8.709752,4535804.98016154,4329.345864914358,8.108488000000001,4585352.499380213,5203.865976208553,3.4164673999999997,3.3850762999999997,3.4478586000000004
2177,6875,234,4.38,0.14,,,758.0,930.0,1392.0,473.0,2239.0,68,94.0,3255.0,95,34.0,1.33,1.34,1.32,1.3,1.4,68,1.2,1.5,95,1.36,2315959345118785408,7.630225,16720767.76599628,3376.892103309144,7.844040400000001,10067904.145201506,11618.914067721318,7.319694500000001,9481788.143243063,10329.797617098293,4.303773400000001,4.2834353,4.3241115
2337,6840,233,4.21,0.14,,,1097.0,1363.0,1655.0,798.0,2573.0,68,173.0,4097.0,95,1353.0,1.35,1.35,1.35,1.3,1.4,68,1.2,1.5,95,1.38,2374591799102346624,6.041018,72266830.04991233,24988.313984787394,6.2617544999999994,43236784.86844628,73801.66720237395,5.738121,40692987.21318994,60868.6498177083,5.0575019999999995,5.0414615,5.073542
2343,6899,235,4.33,0.14,,,802.0,1029.0,1433.0,522.0,2260.0,68,103.0,3162.0,95,31.0,1.35,1.35,1.35,1.3,1.4,68,1.2,1.5,95,1.39,2542650673939738752,7.3499064,21646299.435358595,4716.360095175086,7.5639744,13030635.646571744,9887.93107738854,7.0368056,12303983.701570485,17626.469655177134,4.9455385000000005,4.9171205,4.9739566
2358,6541,222,3.9,0.14,,,2487.0,2409.0,2271.0,1704.0,3145.0,68,1454.0,5309.0,95,2160.0,1.39,1.39,1.38,1.2,1.5,68,1.1,1.7,95,1.51,2554894732346840320,6.4033427000000005,51761783.69125502,17503.342590214503,6.650587,30221806.58810891,34477.5147139612,6.061785700000001,30203249.625862274,36857.999055379514,9.864436999999999,9.797842,9.931032
2381,8364,284,3.99,0.14,,,647.0,715.0,739.0,601.0,912.0,68,290.0,1090.0,95,776.0,1.9,1.89,1.83,1.7,2.0,68,1.6,2.2,95,1.99,2348351713587309568,5.116239,169375516.21763745,368911.21431097924,5.2185607,113013690.20256548,184207.7924316972,5.040354,77379586.46320748,232195.2053618512,,,
2484,11576,394,4.41,0.14,141.0,0.0,65.0,79.0,117.0,42.0,197.0,68,11.0,244.0,95,5.0,2.71,2.7,2.67,2.5,2.8,68,2.4,3.0,95,3.02,4900927434176620160,4.2893419999999995,362751673.8311398,897976.6722191244,4.3259153,257151509.9566292,555757.0036882376,4.4028797,139192612.41012943,311847.5446805645,,,
2543,6810,232,4.11,0.14,,,1411.0,1650.0,1753.0,1129.0,2658.0,68,307.0,4467.0,95,1788.0,1.37,1.37,1.35,1.3,1.5,68,1.2,1.6,95,1.43,427987757273707520,7.055783,28381352.22316819,5411.582850021799,7.262776,17196689.18486343,19467.549523672507,6.757077000000001,15919782.416607045,21894.88757767336,7.964823,7.9296755999999995,7.999969999999999
2578,9717,330,4.33,0.14,86.0,0.0,160.0,195.0,294.0,116.0,436.0,68,28.0,516.0,95,76.0,2.14,2.13,2.11,2.0,2.2,68,1.9,2.4,95,2.09,4900916679578514048,5.0347404000000004,182578717.47706905,358479.86100077257,5.090726,127134925.1770904,439953.538993592,5.0503235,76672330.37498282,223157.92752658136,,,
2710,6433,219,4.37,0.14,,,1594.0,1966.0,2548.0,1037.0,4870.0,68,218.0,6879.0,95,591.0,1.18,1.18,1.15,1.1,1.3,68,1.0,1.3,95,1.22,2526580040189355136,6.7840967,36450849.08532708,9202.271862096875,7.0436387,21042623.27180831,17727.616808065348,6.4194283,21726840.413632557,30646.65411179541,2.3286562,2.3222046,2.3351078
2741,6557,223,3.62,0.14,,,1806.0,1770.0,2024.0,1338.0,2258.0,68,1059.0,3073.0,95,1787.0,1.67,1.67,1.63,1.5,1.8,68,1.3,2.0,95,1.72,2348280520209521280,8.939438,5006924.719118895,1255.8736588418194,9.175548,2953495.272497136,3997.33427664823,8.592127,2937090.393934475,3054.67758132473,2.9638598,2.9397688,2.9879507999999997
2746,6853,233,4.39,0.14,,,763.0,932.0,1392.0,464.0,2304.0,68,92.0,3350.0,95,34.0,1.32,1.33,1.32,1.2,1.4,68,1.1,1.5,95,1.35,4920479637137072128,8.6608305,6471633.364344083,1659.5165335840884,8.8749275,3895687.57510093,3440.3425565678426,8.33633,3717371.2395811393,3749.1234227637437,3.3566983,3.337533,3.3758635999999997
2787,6402,218,3.86,0.14,,,2841.0,2818.0,2476.0,1995.0,3868.0,68,1621.0,5406.0,94,2319.0,1.38,1.37,1.38,1.2,1.5,68,1.1,1.7,95,1.51,2542768012447142784,5.8131227,89145043.4058149,32927.58984833082,6.0715027,51517429.01921165,62638.180300887354,5.4575167,52694024.31080326,78862.03897258847,11.571816,11.518365,11.625268
2841,6952,236,4.33,0.14,,,749.0,931.0,1353.0,501.0,2113.0,68,97.0,2901.0,95,30.0,1.37,1.37,1.35,1.3,1.5,68,1.2,1.5,95,1.4,4906761820830908032,6.810767,35566352.86104661,8351.513268197496,7.022191499999999,21462422.864073373,35427.01730519834,6.519482599999999,19814130.407972414,43396.09124866761,4.4909186,4.4787345,4.503103
2853,6531,222,4.27,0.14,,,1622.0,1969.0,2337.0,1122.0,4340.0,68,251.0,6494.0,95,1751.0,1.23,1.23,1.21,1.1,1.3,68,1.1,1.4,95,1.26,2362361347151263360,7.7767534,14609821.55333146,3563.705033678365,8.021144,8552590.987750536,6170.619369579773,7.4278364,8582889.304237753,7630.342506917344,3.0325189,3.0172603,3.0477773999999997
3035,6717,228,4.27,0.14,,,1181.0,1457.0,1804.0,781.0,3014.0,68,173.0,5012.0,95,1157.0,1.3,1.3,1.3,1.2,1.4,68,1.1,1.5,95,1.33,2347490624184128640,7.002268300000001,29815284.642591324,5511.35901354438,7.2332472999999995,17670803.450774804,13656.27399455552,6.673262599999999,17197407.87294672,17270.66096899596,4.725808,4.7040873,4.747529
3084,6426,218,3.74,0.14,,,2387.0,2317.0,2024.0,1655.0,2916.0,66,1372.0,4732.0,95,2371.0,1.5,1.5,1.46,1.3,1.7,68,1.2,1.8,95,1.55,4907906309356253568,6.688475599999999,39806693.66339149,8826.757200751303,6.947098700000001,22999364.222072527,29720.060756392228,6.3336844,23512250.64146381,44835.23425731121,11.045657,10.945666000000001,11.145648
3214,6546,223,4.38,0.14,,,1295.0,1587.0,2144.0,792.0,3950.0,68,173.0,6131.0,95,40.0,1.22,1.22,1.21,1.1,1.3,68,1.1,1.4,95,1.27,360640642840036480,7.481663,19172603.226251327,5578.63634149576,7.7288647,11194622.576514253,19714.90512258365,7.1333556,11257078.712552998,22782.017552632034,2.7742786,2.7614259999999997,2.7871313
3277,8833,300,4.98,0.14,,,93.0,101.0,131.0,48.0,270.0,68,17.0,376.0,95,,1.85,1.85,1.83,1.8,1.9,68,1.7,2.0,95,,4908315533840351360,5.694323000000001,99452799.6775374,96567.13792772847,5.786194999999999,67000392.65334865,144007.86930251835,5.6005970000000005,46188010.41569716,153238.30736694962,,,
3358,6249,212,3.96,0.14,,,3530.0,3652.0,3117.0,2540.0,5030.0,68,1939.0,6494.0,95,2954.0,1.26,1.24,1.18,1.1,1.4,68,1.1,1.5,95,1.38,2362964150105732736,8.621915,6707803.049898919,1358.0780646985218,8.895006,3824307.6848363117,3260.2935339975625,8.227025,4111100.984883119,4018.63207189276,2.746866,2.7283394,2.7653925
3414,8392,285,4.41,0.14,,,251.0,316.0,466.0,178.0,729.0,68,40.0,866.0,95,17.0,1.76,1.76,1.75,1.7,1.8,68,1.6,1.9,95,1.79,390019868412760832,4.8962183,207423950.39039752,684805.3563440979,5.016273,136158884.93621355,443038.90824160347,4.7960343,96906793.60908556,355573.02234828635,,,
3434,6364,216,4.09,0.14,,,2965.0,3143.0,2859.0,2203.0,5028.0,68,1114.0,7500.0,95,2879.0,1.23,1.22,1.18,1.1,1.3,68,1.0,1.4,95,1.31,5001001679705883520,7.504695,18770176.87057492,4832.020015876577,7.773853,10740244.537444688,10553.273173622378,7.1268687,11324539.727609444,12947.76812597401,3.0581665,2.996356,3.119977
3438,7269,247,4.12,0.14,,,877.0,1091.0,1241.0,750.0,1679.0,68,183.0,2175.0,95,1233.0,1.52,1.51,1.49,1.4,1.6,68,1.3,1.7,95,1.56,362049873149543936,6.826623,35050737.084029034,10130.377783022102,7.010106599999999,21702639.735724367,31297.030663938687,6.570692500000001,18901269.002134986,17905.99449464812,7.493081599999999,7.455646499999999,7.5305165999999994
3488,6735,229,4.53,0.14,,,751.0,893.0,1314.0,410.0,2512.0,68,87.0,3981.0,95,31.0,1.26,1.26,1.24,1.2,1.4,68,1.1,1.4,95,1.43,4690102539182998144,8.015505000000001,11725855.136962336,3577.005712664293,8.257203,6881355.136673777,7614.506351376296,7.6703753,6864640.542081757,9888.227176043732,3.0684642999999996,3.056257,3.0806715000000002
3505,7102,241,4.43,0.14,,,532.0,668.0,1014.0,335.0,1631.0,68,71.0,2239.0,95,43.0,1.41,1.41,1.41,1.3,1.5,68,1.2,1.6,95,1.42,2349940954566607488,5.0979333,172255453.6085673,206584.81767475308,5.3220925,102734975.34128958,131977.78543540448,4.838957,93150500.4810918,252824.90246929362,4.957285400000001,4.93596,4.978611
3521,7356,250,3.91,0.14,,,1181.0,1236.0,1241.0,1029.0,1496.0,68,688.0,1995.0,95,1252.0,1.66,1.64,1.6,1.5,1.8,68,1.4,1.9,95,1.76,4980885465937049728,5.8580117,85534548.38866557,37347.178727586666,6.0257688,53733837.00020466,36373.70356057983,5.617100700000001,45491230.64981324,57465.709752329225,14.970073000000001,14.894789000000001,15.045357000000001
3544,9701,330,3.19,0.14,,,306.0,304.0,294.0,277.0,357.0,62,219.0,384.0,93,212.0,3.23,3.23,3.24,3.1,3.3,57,3.1,3.3,57,3.75,418414069011230720,5.3908324,131526510.16512512,123129.75611506887,5.4211415999999994,93777473.64877848,86238.0536373599,5.3816370000000004,56508426.59121716,118651.97978131965,,,
3576,7335,249,3.9,0.14,,,1212.0,1255.0,1241.0,1055.0,1522.0,68,750.0,1995.0,95,1252.0,1.66,1.65,1.6,1.5,1.8,68,1.4,2.0,95,1.77,2370635550107275392,6.42915,50545933.81203476,17444.3008940866,6.6030316,31574944.147140376,39602.25806012321,6.179244000000001,27106306.64785085,39889.54638666089,19.185173000000002,19.064034,19.306313
4025,7142,243,4.13,0.14,,,936.0,1167.0,1353.0,788.0,1901.0,68,183.0,2441.0,95,1312.0,1.47,1.47,1.44,1.4,1.6,68,1.3,1.7,95,1.51,2775269744822527872,6.6184306,42459419.19416252,11756.23964788558,6.809906,26097138.95883909,48102.247536188486,6.351787,23123479.44503212,42288.688081527995,12.303888,12.214416,12.393361
4160,7397,252,4.12,0.14,,,807.0,1006.0,1172.0,708.0,1540.0,68,173.0,1939.0,95,1146.0,1.55,1.54,1.52,1.4,1.6,68,1.4,1.8,95,1.59,2357492915822147072,7.575700299999999,17581913.830981724,3690.6330399481226,7.7398524,11081901.277832732,6821.363404153824,7.342165,9287567.478127332,8491.792109270316,7.992071000000001,7.926779300000001,8.057363
4171,6943,236,4.27,0.14,,,854.0,1071.0,1433.0,596.0,2175.0,68,119.0,3073.0,95,685.0,1.38,1.38,1.38,1.3,1.5,68,1.2,1.5,95,1.4,2789120739474420992,7.3179240000000005,22293418.01872718,6081.507135035356,7.530292500000001,13441208.662251508,29964.654360956127,7.017230499999999,12527827.647653636,26117.874509428475,6.7361593,6.6986117,6.773707000000001
4226,6710,228,4.22,0.14,,,1325.0,1614.0,1857.0,917.0,3073.0,68,218.0,5158.0,95,1622.0,1.31,1.31,1.3,1.2,1.4,68,1.1,1.5,95,1.34,5001589647844766336,8.458005,7800896.145813483,2349.236242110252,8.6809025,4657944.546105308,3822.5154178501207,8.131632000000002,4488646.218865161,5800.771117576571,4.0045133,3.9710717000000004,4.037955
4329,8197,279,4.41,0.14,,,275.0,337.0,508.0,192.0,802.0,68,43.0,944.0,95,19.0,1.71,1.71,1.69,1.6,1.8,68,1.6,1.9,95,1.74,311075380214316416,7.150328,26014466.930556,8624.58617502543,7.271314599999999,17061979.252532065,63621.267926264765,6.996465,12769735.966563968,47340.497172997035,8.758563,8.707863,8.809263
4366,8411,286,4.17,0.14,,,427.0,532.0,678.0,365.0,866.0,68,89.0,1000.0,95,605.0,1.82,1.8,1.77,1.7,1.9,68,1.6,2.0,95,1.84,2805741846297577344,6.0518785,71547560.59357147,44503.63751069996,6.135153,48584091.20035774,96128.88860453096,5.9628024,33086204.34151401,113014.97641045766,,,
4385,6451,219,4.12,0.14,,,2475.0,2702.0,2623.0,1884.0,4732.0,68,688.0,6879.0,95,2638.0,1.24,1.24,1.21,1.1,1.3,68,1.1,1.4,95,1.31,2474699893270334720,7.618552,16901507.756059013,3472.262051280456,7.874363400000001,9790611.19391276,7716.012243012295,7.256400999999999,10050962.456549143,10250.270571769104,3.6105998,3.5915491999999998,3.6296504
