HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,source_id,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,lum_val,lum_percentile_lower,lum_percentile_upper
60561,10581,360,4.44,0.14,149.0,1.0,305.0,311.0,312.0,277.0,357.0,68,230.0,410.0,95,7.0,2.8,2.78,2.73,2.5,3.0,68,2.4,3.3,95,2.78,5842473841306561408,6.585164999999999,43780458.6841202,14140.938491925846,6.6049809999999995,31518308.47100145,42018.798976349535,6.610803,18215738.70750242,78320.31383119563,,,
60595,10396,353,4.38,0.14,204.0,0.0,130.0,159.0,241.0,100.0,341.0,68,24.0,376.0,95,8.0,2.37,2.36,2.34,2.2,2.5,68,2.2,2.6,95,2.33,3576836467618497152,5.930326,80023202.53899421,58917.155688430306,5.962224,56972540.12166753,204640.94374763512,5.918116,34476365.596627176,146307.19848430867,,,
60598,6832,232,4.42,0.14,,,1041.0,1276.0,1608.0,668.0,2738.0,68,145.0,4732.0,95,39.0,1.33,1.33,1.32,1.2,1.4,68,1.1,1.5,95,1.34,3476391648015146624,6.741052000000001,37924993.45774385,8095.49193969443,6.968542599999999,22549570.06188865,28627.943149197563,6.4175353,21764760.942827694,27362.27457748953,4.0730900000000005,4.0582786,4.0879016
60635,6414,218,4.33,0.14,,,1658.0,2113.0,2859.0,1057.0,5897.0,68,205.0,7499.0,95,1600.0,1.14,1.13,1.07,1.0,1.2,68,1.0,1.3,95,1.21,3475506060118406400,7.5589710000000006,17854917.35327541,4302.321778809758,7.8308615999999995,10190853.401268376,11381.718037675431,7.175627,10827225.038816368,27110.594682962736,2.9866517000000004,2.9726402999999997,3.0006630000000003
60645,6379,217,4.45,0.14,,,1878.0,2314.0,3117.0,1259.0,6131.0,68,266.0,7943.0,95,59.0,1.15,1.14,1.1,1.0,1.2,68,1.0,1.3,95,1.2,3680902253890858624,8.061134,11243269.408074224,6224.7939193592565,8.334247999999999,6409973.877632079,6969.20540159384,7.6821194,6790788.423292497,10948.820346969293,1.9809166,1.9703913,1.991442
60649,6499,221,4.31,0.14,,,1333.0,1679.0,2207.0,799.0,4334.0,68,168.0,6494.0,95,1375.0,1.19,1.19,1.18,1.1,1.3,68,1.0,1.4,95,1.24,4009051048227419520,8.222147,9693653.315699564,2821.848158541133,8.468444,5664711.028426248,3850.620185670703,7.864727499999999,5739538.783598075,7759.344741764295,2.7945892999999997,2.7776341,2.8115444
60690,6420,218,4.25,0.14,,,1780.0,2188.0,2699.0,1221.0,5115.0,68,266.0,7079.0,95,2531.0,1.18,1.18,1.15,1.1,1.3,68,1.0,1.3,95,1.22,3583498786528494080,8.174325999999999,10130152.080008524,2843.4837939097197,8.425555000000001,5892956.563971608,5241.946093446984,7.8079515,6047659.956207353,8999.098377436809,2.3683763,2.3556361,2.3811164000000002
60746,8679,295,3.67,0.14,74.0,0.0,310.0,389.0,570.0,256.0,719.0,68,58.0,794.0,95,541.0,1.87,1.86,1.83,1.8,1.9,68,1.7,2.1,95,2.53,4008867605880031872,4.894465,207759179.81664005,498335.74195179396,4.997056,138590305.01910228,193534.87462261645,4.8595014,91404459.14247258,461430.08366160974,,,
60825,6417,218,4.39,0.14,,,1999.0,2478.0,3705.0,1413.0,6879.0,68,287.0,8055.0,95,159.0,1.15,1.13,1.01,1.0,1.2,68,1.0,1.4,95,1.22,5856452271923016064,7.297521000000001,22716310.75251872,5047.950623703599,7.560017,13078213.700854607,13613.986862709578,6.926763,13616416.18564528,19680.326207585964,2.213821,2.2082593,2.2193825
60904,11142,379,4.27,0.14,14.0,0.0,101.0,124.0,186.0,77.0,265.0,68,18.0,290.0,95,109.0,2.61,2.63,2.56,2.5,2.7,68,2.4,2.9,95,2.59,3960724252307181056,5.2066016,155849608.99700254,480009.23763699393,5.2247458,112371710.66405956,250693.76884594845,5.2270317,65156123.28225365,575427.1929474025,,,
60935,6563,223,4.07,0.14,,,1210.0,1540.0,2024.0,729.0,3652.0,68,154.0,5788.0,95,2309.0,1.22,1.22,1.21,1.1,1.3,68,1.1,1.4,95,1.38,6150268480678393344,7.6440463,16509263.961503075,4994.252613105608,7.8931923,9622288.37345584,18392.95641312592,7.2903385,9741652.091828406,18776.87569889794,5.76537,5.7241425999999995,5.806597
60941,6448,219,3.44,0.14,,,1836.0,2240.0,2943.0,1223.0,5957.0,68,266.0,7943.0,95,1377.0,1.17,1.16,1.13,1.0,1.2,68,1.0,1.3,95,1.89,3959853576537169536,5.3357925,138365950.25942442,187759.08632795129,5.6029124,79321384.83934914,196751.26836203586,5.0047646,79958058.99675305,167000.68745516887,19.145826,19.008114000000003,19.283539
60957,9079,309,3.93,0.14,133.0,0.0,403.0,481.0,539.0,376.0,631.0,68,133.0,708.0,95,567.0,2.07,2.06,2.0,1.9,2.2,68,1.8,2.4,95,2.28,3949475561160534784,5.6570887999999995,102922623.75825778,106486.30972644038,5.719731299999999,71229967.49750847,132924.65319366645,5.591844999999999,46561817.9671608,57596.91108265662,,,
60976,6483,220,4.32,0.14,,,1769.0,2141.0,2476.0,1223.0,4815.0,68,282.0,6879.0,95,1315.0,1.21,1.21,1.18,1.1,1.3,68,1.0,1.4,95,1.24,3959954559808234368,7.750315700000001,14969939.773396198,3772.821123286623,8.002989999999999,8696794.150342517,11634.505612363871,7.3911595000000005,8877777.350497724,14042.814561860903,2.674731,2.662412,2.68705
60987,6592,224,4.32,0.14,,,2268.0,2478.0,2406.0,1540.0,5012.0,68,546.0,7499.0,95,853.0,1.27,1.26,1.24,1.1,1.4,68,1.0,1.5,95,1.28,3679803154579458816,7.237983,23996783.46233664,5128.263562416054,7.4823059999999995,14048596.314888684,19367.500865486,6.895730499999999,14011215.64782112,32067.799206401163,4.084944,4.0661483,4.1037393
61010,6375,217,4.12,0.14,,,1954.0,2402.0,2943.0,1372.0,5464.0,68,307.0,7499.0,95,3053.0,1.17,1.17,1.15,1.1,1.2,68,1.0,1.3,95,1.28,1532059472079123200,7.5377655,18207072.30977537,5055.226059553634,7.797301299999999,10510777.0329006,16747.178378850414,7.175528999999999,10828202.699764734,19693.61401264169,2.9509227000000005,2.9326699,2.9691756000000002
61035,6331,215,3.92,0.14,,,2872.0,2780.0,2778.0,1951.0,3972.0,68,1679.0,5788.0,95,2896.0,1.4,1.4,1.41,1.2,1.5,68,1.1,1.7,95,1.4,3903746082287027072,7.968349000000001,12246352.48463143,18831.84340306833,7.7251080000000005,11233419.123978553,838632.9510986485,7.030164,12379480.11836468,44308.223050432665,,,
61055,7188,244,4.15,0.14,,,582.0,733.0,1138.0,410.0,1585.0,68,87.0,1995.0,95,1236.0,1.45,1.46,1.46,1.4,1.5,68,1.3,1.6,95,1.51,6074305863722610944,7.954219999999999,12406757.289153887,3473.085976615222,8.1433325,7642269.950461297,5715.87346887568,7.676398,6826669.021889764,5798.704066395086,6.538368,6.4927673,6.583969000000001
61151,6853,233,4.31,0.14,,,1258.0,1511.0,1655.0,962.0,2613.0,68,230.0,4340.0,95,363.0,1.37,1.37,1.35,1.3,1.5,68,1.2,1.6,95,1.37,3959000870910028288,7.5111775,18658440.76620947,4554.778960760826,7.725397999999999,11230421.852220844,12159.673143888818,7.2044406,10543669.921924306,13813.346041408404,4.6817694,4.653773,4.709766
61154,6757,230,4.31,0.14,,,1234.0,1515.0,1804.0,866.0,2818.0,68,200.0,4732.0,95,447.0,1.32,1.32,1.32,1.2,1.4,68,1.1,1.5,95,1.34,6059496958242770816,6.980767,30411620.751277886,5758.837217445984,7.2105217,18044573.38154572,14674.990337622625,6.652480000000001,17529758.984464232,32963.0054260147,4.065351000000001,4.0520760000000005,4.078626
61174,6922,235,4.3,0.14,,,814.0,1012.0,1433.0,537.0,2243.0,68,106.0,3162.0,95,298.0,1.36,1.36,1.35,1.3,1.5,68,1.2,1.5,95,1.4,3526420114272476800,4.1916212999999996,396915307.6951388,6418195.260476969,4.4180503,236230035.55112585,1094061.794295217,3.8884062999999993,223565849.59381738,678913.170280362,4.9542947,4.859285400000001,5.049304
61197,7309,249,4.23,0.14,,,552.0,698.0,1075.0,398.0,1454.0,68,84.0,1830.0,95,764.0,1.49,1.49,1.49,1.4,1.6,68,1.3,1.6,95,1.51,3513550261950876288,7.924092999999999,12755846.036495054,5480.66511611826,8.101274499999999,7944117.066632751,11832.779674740535,7.6609974,6924189.679470013,7959.84767373757,5.8794703,5.8331865999999994,5.925754
61199,16792,571,4.18,0.14,184.0,0.0,18.0,22.0,33.0,13.0,53.0,68,3.0,60.0,95,36.0,4.84,4.83,4.78,4.6,5.0,68,4.5,5.2,95,4.95,5842864786413303552,3.7201135,612774785.3873084,1857035.5709107863,3.7802093,425080880.38624084,4794128.412089408,3.9610286,209101214.79332265,947973.4320282816,,,
61212,6973,237,4.22,0.14,,,766.0,958.0,1353.0,516.0,2054.0,68,103.0,2818.0,95,1078.0,1.38,1.38,1.38,1.3,1.5,68,1.2,1.5,95,1.42,3528092265300901760,5.6373625,104809666.5896442,57513.92235199612,5.8522124,63047845.03975712,90569.6679774017,5.3532567,58004977.1572621,93938.55076430735,5.9254413,5.903107599999999,5.947775
